西元前年,年份數字,紀年標題,同年序號,資料類型,國家,人物,事件詞,原文內容
前468,468,周貞定王元年（西元前四六八年）,1,史料,秦、齊、楚、晉、魯、越,句踐,,秦厲共公九年，晉出公七年，齊平公十三年，楚惠王二十一年，越句踐二十九年，魯哀公二十七年。
前468,468,周貞定王元年（西元前四六八年）,2,考案,晉、周、魯,智伯,立、滅,案：《史記·周本紀》雲：“元王八年崩，子定王介立。”《索隱》雲：“如《史記》，則元王為定王父，定王即貞王也。依《世本》，則元王為貞王子，必有一乖誤。”《左傳》哀公十九年《正義》引《世本》，既雲：“魯哀公二十年貞定王介崩，子元王赤立。”又雲：“敬王崩，貞王介立，貞王崩，元王赤立。”據此可知，介有貞、定二諡。《周本紀·集解》又引皇甫謐曰：“元王十一年癸未，三晉滅智伯，二十八年崩，三子爭立，立應為貞定王。”考《世本》以元王為貞定王之子，而《史記》則以貞定王為元王之子。《帝王世紀》從《史記》之說，但《史記》謂元王八年崩，定王二十八年崩，而《帝王世紀》又謂元王二十八年崩，貞定王十年崩，與《史記》不合。今從《史記》。
前468,468,周貞定王元年（西元前四六八年）,3,史料,魯、越、吳、宋,,卒、盟、聘,〔魯哀公〕二十七年春，越子使舌庸來聘(“舌”原誤作“後”，今從唐《石經》宋本、《金澤文庫》本及《國語·吳語》改正)，且言邾田，封於駘上。二月，盟於平陽，三子皆從，康子病之，言及子贛，曰：“若在此，吾不及此夫！”武伯曰：“然。何不召？”曰：“固將召子。”文子曰：“他日請念。”夏四月己亥，季康子卒。公吊焉，降禮。（《左傳》）
前468,468,周貞定王元年（西元前四六八年）,4,考案,齊、楚、魯、越、吳、衛、代,孔子、子貢,救、取、盟、會,案：子贛即子貢，端木氏，名賜，衛人，孔子弟子，少孔子三十一歲，時年五十四，善於外交辭令，又善經商致富。魯哀公六年孔子絕糧于陳，使子貢至楚營救。次年吳向魯征百牢，吳太宰嚭召季康子，康子使子貢辭。哀公十一年吳王夫差賜叔孫甲、劍鈸，叔孫不能應對，由子貢代對。次年衛侯會吳於鄖，為吳所執，經子貢進言太宰嚭而得釋。是年越以霸主而遣使至魯，約定以駘上為魯、邾之間疆界（蓋魯嘗侵取邾地），欲迫使三桓從魯哀公聽命於平陽之盟，季康子為越使所困，因而欲召子貢前來救解。此後不見有關子貢之記載。《史記·儒林列傳》雲：“子貢終於齊”，不知在何年。
前468,468,周貞定王元年（西元前四六八年）,5,史料,魯、越,,伐、卒,公患三桓之侈也，欲以諸侯去之；三桓亦患公之妄也，故君臣多間。公游於陵阪，遇孟武伯于孟氏之衢，曰：“請有問于子，餘及死乎？”對曰：“臣無由知之。”三問，卒辭不對。公欲以越伐魯而去三桓。秋八月甲戌，公如公孫有陘氏，因孫于邾，乃遂如越。國人施公孫有山氏。（《左傳》，杜注：“有陘氏即有山氏。”）
前468,468,周貞定王元年（西元前四六八年）,6,史料,魯、越、衛,,伐、攻、卒、立、奔,[魯哀公]二十七年春，季康子卒。夏，哀公患三桓，將欲因諸侯以劫之，三桓亦患公作難，故君臣多間。公游於陵阪，遇孟武伯于街，曰：“請問，餘及死乎？”對曰：“不知也。”公欲以越伐三桓。八月哀公如陘氏，三桓攻公，公奔于衛，去如鄒，遂如越。國人迎哀公複歸，卒於有山氏。子寧立，是為悼公。（《魯世家》）
前468,468,周貞定王元年（西元前四六八年）,7,考案,魯、越,,卒、遷,案：《左傳·正義》據《左傳》以駁《史記》，雲：“《傳》稱國人施罪於有山氏，不得複歸而卒於其家也，馬遷妄耳。”其說非是。有山氏當為由魯出國之通道，哀公由此往越，又經此歸來，未及回國都而卒。
前468,468,周貞定王元年（西元前四六八年）,8,史料,周、越,,徙都,[周]貞定王元年癸酉於越徙都琅邪。（今本《竹書紀年》）
前468,468,周貞定王元年（西元前四六八年）,9,考案,秦、齊、楚、魏、晉、周、魯、越、吳、衛,句踐,伐、攻、卒、徙都、滅、取、盟、會、奔,案：《越世家》雲：“句踐已平吳，乃以兵北渡淮，與齊、晉諸侯會于徐州，致貢于周，周元王使人賜句踐胙，命為伯。”又雲：“當是時，越兵橫行江、淮東，諸侯畢賀，號稱霸王。”《越絕書·外傳本事》雲：“越伐強吳，尊事周室，行霸琅邪。”《越絕書·記吳地傳》亦雲：“越王句踐徙瑯邪。”《吳越春秋·句踐伐吳外傳》又謂句踐二十五年，“霸於關東，從瑯琊起觀台，周七裡，以望東海。”又雲：“越王使人如木客山取元常（當作“允常”）之喪，欲徙葬琅邪，三穿元常（當作“允常”）之墓，中生熛風，飛砂石以射人，人莫能入，句踐曰：吾前君其不徙乎！遂置而去。句踐乃使使號令齊、楚、秦、晉皆輔周室，血盟而去。”此雖雜有神話，其徙都琅邪當為事實。《漢書·地理志》雲：“琅邪，越王句踐嘗治此，起館台。”《水經·濰水注》亦雲：“琅邪，山名也。越王句踐之故國也。句踐並吳，欲霸中國，徙都琅邪。”諸書未言句踐於何年徙都琅邪，惟今本《竹書紀年》列于周貞定王元年，王國維《今本竹書紀年疏證》以為即據《吳越春秋》，不確。《吳越春秋》謂句踐於琅邪起觀台在句踐二十五年，即平吳之次年。今本《竹書紀年》不知何據。錢穆《越徙琅邪考》肯定今本《竹書紀年》之說，雲：“是歲越使舌庸來正邾、魯之界，公與盟平陽，蓋即越北徙時矣。”並舉《墨子·非攻中》“東方有莒之國……是以東者越人夾削其壤地，西者齊人兼而有之”為證：“蓋越都琅邪，莒正在其西，地望正符。”（增訂本《先秦諸子系年》第一一○至一一一三頁）據《左傳》及《史記》，此年魯哀公欲以越伐魯而去三桓，三桓攻公，八月公出奔，經有陘氏、衛、鄒而如越，旋又為國人迎歸而卒於有陘氏，前後不過四五閱月。蒙文通《史記越世家補正》於“越都琅邪”條下，論之曰：“哀公七年《傳》載：邾子益曰：吳二千里，不三月不至，何及於我。邾、吳之間，較魯、越之間為猶近，已是不三月不至。而哀公之輾轉如越，又自越返魯，前後不過四五月，亦證哀公之所往者，是琅邪之越而非會稽之越也。”其說甚卓。蒙氏又謂：“《越世家·索隱》引《竹書紀年》言：朱句三十四年滅滕，三十五年滅郯。《戰國策·魏策四》雲：“繒恃齊以捍越，齊和子之亂而越人亡繒。皆明越人之活動多在北方。惟徙都琅邪始克滅滕、滅郯、亡繒、削莒，于時遂大顯于中原，而與齊、楚、晉相提並論。”(《越史叢考》第一二一至一二二頁，人民出版社一九八三年出版)蒙氏此說亦足證越王句踐徙都琅邪，至遲在此年。《越絕書》言句踐徙都琅邪，並“行霸琅邪”，確為事實。
前468,468,周貞定王元年（西元前四六八年）,10,史料,齊、晉、鄭,知伯、荀瑤,伐、救、立,晉荀瑤帥師伐鄭，次於桐丘，鄭駟弘請救于齊。齊師將興，陳成子屬孤子三日朝。設乘車兩馬，系五邑焉（“邑”通“裛”。《說文》雲：“裛，書囊也”）。召顏涿聚之子晉曰：“隰之役，而父死焉（“而”通“爾”）。以國之多難，未女恤也。今君命女以是邑也，服車而朝，毋廢前勞。”乃救鄭。及留舒，違穀七裡，穀人不知。及濮，雨，不涉。子思曰（杜注：“子思，國參）：“大國在敝邑之宇下，是以告急。今師不行，恐無及也。”成子衣制，杖戈，立於阪上，馬不出者，助之鞭之。知伯聞之，乃還，曰：“我卜伐鄭，不卜敵齊。”使謂成子曰：“大夫陳子，陳之自出。陳之不祀，鄭之罪也，故寡君使瑤察陳衷焉，謂大夫其恤陳乎：若利本之顛，瑤何有焉。”成子怒曰：“多陵人者皆不在，知伯其能久乎！”中行文子告成子曰：“有自晉師告寅者，將為輕車千乘以厭齊師之門（“厭”通“壓”），則可盡也。”成子曰：“寡君命恒曰：‘無及寡，無畏眾。’雖過千乘，敢辟之乎？將以子之命告寡君。”文子曰：“吾乃今知所以亡。君子之謀也，始、衷、終皆舉之，而後入焉。今我三不知而入之，不亦難乎！”（《左傳》哀公二十七年）
前468,468,周貞定王元年（西元前四六八年）,11,考案,齊、韓,孔子、荀瑤,伐,案：顏涿聚即顏庚，庚其名，涿聚其字。前四年荀瑤伐齊，戰於犁丘，顏庚為荀瑤所擒。顏涿聚，《孔子世家》作顏濁鄒，《晏子春秋·外篇》、《漢書·古今人表》作顏燭鄒，《淮南子·汜論訓》作顏喙聚(“喙”當為“啄”之訛)，並聲同通用。《孔子世家》雲：“孔子以《詩》、《書》、《禮》、《樂》教，弟子蓋三千焉，身通六藝者七十有二人，如顏濁鄒之徒，頗受業者甚眾。”《呂氏春秋·尊師》篇雲：“顏涿聚，梁父之大盜也，學於孔子。”《韓非子·外儲說左下》記南宮敬子問顏涿聚曰：“季孫養孔子之徒，所朝服與坐者以十數而遇賊，何也？”《淮南子·汜論訓》雲：“顏啄聚，梁父之大盜也，而為齊忠臣。”
前468,468,周貞定王元年（西元前四六八年）,12,考案,齊、晉、周、鄭,知伯,伐、攻、救,又案：此後四年，知伯再伐鄭，攻入南裡，門於桔柣之門，見於《左傳》末尾“悼之四年”。《六國表》混淆知伯兩次伐鄭事蹟，謂周定王五年“知伯伐鄭，駟桓子如齊求救”。齊平公十七年“救鄭，晉師去，中行文子謂田常乃今知所以亡”。此以首次知伯伐鄭之事，誤以為知伯再次伐鄭之事。
前468,468,周貞定王元年（西元前四六八年）,13,史料,齊、晉、鄭,智伯,伐、救、立,晉智伯伐鄭，齊田恒救之。有登蓋必身立焉，車徒有不進者，必令助之。壘合而後敢處，井灶成而後敢食。智伯曰：“吾聞田恒新得國而愛其民，內同其財，外同其勤勞，治軍若此，其得眾也，不可待也。”乃去之耳。（《說苑·指武》第九章）
前468,468,周貞定王元年（西元前四六八年）,14,附編,,,,【附編】
前468,468,周貞定王元年（西元前四六八年）,15,史料,齊、越,,攻,東方有莒之國，其為國甚小，間於大國之間，不敬事於大，大國亦弗之從而愛利，是以東者越人夾削其壤地，西者齊人兼而有之，計莒之所以亡于齊、越之間者，以是攻戰也。（《墨子·非攻中》）
前468,468,周貞定王元年（西元前四六八年）,16,考案,齊、楚、晉、越,,伐、攻、卒、滅,案：莒在今山東莒縣，琅邪在今山東膠南縣琅邪台，正當莒縣之東，因而“東者越人夾削其壤地”。《楚世家》載楚簡王元年“北伐滅莒”。《墨子》所述，當為楚滅莒以前之實情。《墨子》常以越與齊、晉、楚並提。《節葬下》雲：“南有楚、越之王，北有齊、晉之君，此皆砥礪其卒伍，以攻伐並兼為政於天下。”《非攻下》又雲：“今天下好戰之國齊、晉、楚、越……今以並國之故，四分天下而有之。”《非攻中》亦雲：“此四國者以攻戰之故，土地之博至數千里，人徒之眾至有數百萬。”子生當越強盛之時，所言越人削莒壤地之事，當為目睹之實情。
前467,467,周貞定王二年（西元前四六七年）,1,史料,秦、齊、楚、晉、魯、越,句踐,,秦厲共公十年，晉出公八年，齊平公十四年，楚惠王二十二年，越句踐三十年，魯悼西元年。
前467,467,周貞定王二年（西元前四六七年）,2,史料,秦、魏,,拔,秦厲共公十年庶長將兵拔魏城。（《六國表·集解·音義》“拔一作捕”）
前467,467,周貞定王二年（西元前四六七年）,3,考案,秦、魏、晉、周,,伐、拔、會,案：黃式三《周季編略》改作“秦伐晉拔魏氏城”，並雲：“或是魏氏邊邑耳。”此說無據，史文未見其例。瀧川資言《史記會注考證》雲：“魏城，秦地，不可言拔，當作補，若後年補龐戲城、補龐城。”此說亦無據，秦邊邑無魏城。《六國表》此記疑有脫誤。
前467,467,周貞定王二年（西元前四六七年）,4,史料,秦,,,其十年(“其”指刺龔公)，彗星見。(《秦始皇本紀》附《秦記》，《六國表》同)
前467,467,周貞定王二年（西元前四六七年）,5,史料,魯,,,[魯]悼公之時，三桓勝，魯如小侯，卑於三桓之家。（《魯世家》）
前467,467,周貞定王二年（西元前四六七年）,6,考案,趙、晉、周、魯、越、鄭,子貢、知伯、荀瑤,伐、圍、卒、立、奔,案：《六國表》記“魯哀公卒”于周定王二年，記“魯悼西元年三桓勝，魯如小侯”于周定王三年，如此則魯哀公有二十八年。惟《魯世家》和《十二諸侯年表》均謂哀公二十七年卒，《漢書·律曆志》引《六國春秋》亦作二十七年，可知《六國表》哀公二十八年之說不確。《左傳》雲：“悼公四年，晉荀瑤帥師圍鄭”，《趙世家》雲：“晉出公十一年知伯伐鄭”，足見魯悼公四年當晉出公十一年，即周定王五年。《六國表》記知伯伐鄭亦在定王五年，惟誤以初次伐鄭之事為再次伐鄭耳。可見魯悼西元年確在周貞定王二年，《六國表》記在三年非是。黃式三《周季編略》既據《左傳》悼公四年荀瑤圍鄭之事，定魯悼西元年當周貞定王二年，又從《六國表》定魯哀公卒于同年。黃氏據《左傳》哀公十六年載子貢之言“君不歿于魯”，錄其言之驗，因而斷言哀公卒於越，當依《六國表》定在出奔之明年，並雲：“知哀公尚在，悼公已立。”其說不足信。哀公不可能卒於悼西元年。
前465,465,周貞定王四年（西元前四六五年）,1,史料,秦、齊、楚、晉、魯、越,句踐,,秦厲共公十二年，晉出公十年，齊平公十六年，楚惠王二十四年，越句踐三十二年，魯悼公三年。
前465,465,周貞定王四年（西元前四六五年）,2,史料,越、衛,,卒,[衛]悼公四年卒於越。（《衛世家·索隱》引《紀年》）
前465,465,周貞定王四年（西元前四六五年）,3,史料,衛,,卒、立,[衛]悼公五年卒，子敬公弗立。（《衛世家》）
前465,465,周貞定王四年（西元前四六五年）,4,史料,衛,,,[衛悼公]名虔，敬公費。（《衛世家·索隱》引《世本》）
前465,465,周貞定王四年（西元前四六五年）,5,考案,晉、周、魯、衛,,卒、立,案：據《左傳》，衛悼公立于魯哀公二十六年，《紀年》雲悼公四年卒。則悼公之卒與敬公之立，當在魯悼公三年，即晉出公十年、周貞定王四年。今《六國表》系衛悼公黔元年于周定王十四年、衛敬西元年于周定王十九年，蓋誤後十四年。
前465,465,周貞定王四年（西元前四六五年）,6,考案,衛,,,又案：《衛世家》與《六國表》謂悼公名黔，《左傳》杜注：“悼公，蒯蹟庶弟公子黠也。”而《世本》又雲“名虔”。蓋“黔”“黠”“虔”，皆音同通假。《衛世家》言敬公名弗，而《世本》作費，“弗”“費”亦音同通假。
前464,464,周貞定王五年（西元前四六四年）,1,史料,秦、齊、楚、晉、魯、越,句踐,,秦厲共公十三年，晉出公十一年，齊平公十七年，楚惠王二十五年，越句踐三十三年，魯悼公四年。
前464,464,周貞定王五年（西元前四六四年）,2,史料,晉、越,句踐,卒,晉出公十年十一月於粵子句踐卒，是為菼執。（《越世家·索隱》引《紀年》）
前464,464,周貞定王五年（西元前四六四年）,3,史料,越,句踐,卒、立,於粵子句踐卒，是菼執。次鹿郢立。（《越世家·索隱》引《紀年》）句踐卒，子王鼫與立。（《越世家》）
前464,464,周貞定王五年（西元前四六四年）,4,史料,越,,,越語謂鹿郢為鼫與也。（《越世家·索隱》引樂資雲，當出樂資《春秋後傳》）
前464,464,周貞定王五年（西元前四六四年）,5,史料,楚、晉、越、吳,句踐,伐、卒、立、即位,[句踐]二十七年冬句踐寢疾將卒，謂太子興夷曰(“興”當為“與”字之誤)：“吾自禹之後，承允常之德，蒙天靈之佑，神祇之福，從窮越之地，籍楚之前鋒，以摧吳王之干戈，跨江涉淮，從晉、楚之地，功德巍巍，自致於斯，其可不誡乎？夫霸者之後，難以久立，其慎之哉！”遂卒。興夷即位。(《吳越春秋·句踐伐吳外傳》)
前464,464,周貞定王五年（西元前四六四年）,6,考案,楚、魏、晉、周、魯、越、吳、宋,句踐,伐、卒、立、殺,案：金陵局刻本《史記》，《越世家·索隱》兩次引《紀年》於“句踐卒”，有“是為芟執”，或“是芟執”，當是。此與《索隱》引《紀年》“不壽立十年見殺，是為盲姑”，文例相同。蓋句踐為名，芟執為稱號，宋耿秉本、黃善夫本，元彭寅本及清殿本《史記》無“是芟執”三字，蓋脫誤。《吳越春秋》謂句踐二十七年卒，不確。《越世家》稱句踐元年吳伐越，吳師敗于樵李，吳王闔廬因射傷而死。《左傳》記在魯定公十四年，是句踐元年即魯定公十四年（西元前四九六年），《國語·越語》韋注以句踐三年為魯哀西元年，亦與《左傳》相合。《紀年》魏史用夏正，句踐于晉出公十年十一月卒，于周正已是翌年正月，是句踐卒於句踐三十三年，即周貞定王五年。與《通鑒外紀》謂句踐三十三年薨相合。句踐，金文或作“鳩淺”。一九六五年湖北江陵1號楚墓出土越王句踐劍，銘文作“郕（越）王鳩淺自乍（作）用釜（劍）”。
前464,464,周貞定王五年（西元前四六四年）,7,考案,魯、越、吳,句踐,,又案：《左傳》魯哀公二十四年“公如越得太子適郢，將妻公而多與之地”。此太子適郢，當即鹿郢，《越絕書·記吳地傳》雲：“句踐子與夷時霸。”《吳越春秋》作“興夷”，“興”乃“與”字之誤。《史記·越世家》作鼫與。“與夷”，金文作“於賜”。越王旨於賜鐘、越王旨於賜劍，以及戈、矛，所謂越王旨於賜，當即句踐之子與夷。越有者訒鐘(或作者滬鐘)，銘□：“惟戊(越)十有九年王曰者訒……。”乃句踐十九年製作，陳夢家《六國紀年表考證》嘗疑者滬即與夷，非是。
前464,464,周貞定王五年（西元前四六四年）,8,史料,韓、趙、魏、晉、魯、鄭,知伯、荀瑤、趙襄子,圍、賂,[魯]悼公四年，晉荀瑤帥師圍鄭，未至，鄭駟弘曰：“知伯愎而好勝，早下之則可行也。”乃先保南裡以待之。知伯入南裡，門於桔柣之門。鄭人俘鄱魁壘，賂之以知政，閉其口而死。將門，知伯謂趙孟：“入之。”對曰：“主在此。”知伯曰：“惡而無勇，何以為子？”對曰：“以能忍恥，庶無害趙宗乎？”知伯不悛，趙襄子由是甚知伯，遂喪之。知伯貪而愎，故韓、魏反而喪之。（《左傳》末尾）
前464,464,周貞定王五年（西元前四六四年）,9,史料,趙、晉、鄭,知伯,伐、圍,晉出公十一年知伯伐鄭。趙簡子疾，使太子毋卹將而圍鄭。知伯醉，以酒灌擊毋卹。毋卹群臣請死之。毋卹曰：“君所以置毋卹，為能忍詢。”然亦慍知伯。知伯歸，因謂簡子，使廢毋卹。簡子不聽。毋卹由此怨知伯。（《趙世家》，此與《左傳》同敘一事，但所謂“趙簡子疾”云云，乃虛構之故事，出於杜撰）
前464,464,周貞定王五年（西元前四六四年）,10,考案,楚、趙、晉、魯、越、吳、代,知伯、趙襄子,圍、卒、立,案：《左傳》所謂趙孟即趙襄子毋卹。“惡而無勇，何以為子？”杜注雲：“惡，貌醜也。簡子廢嫡子伯魯而立襄子，故知伯言其醜且無勇，何故立以為子。”此說不明確。時趙簡子已去世，《左傳》魯哀公二十年“十一月越圍吳，趙孟降於喪食”。杜注：“趙孟，襄子無恤，時有父簡子之喪。簡子趙鞅當卒於此年，襄子無恤繼承卿位，即在此年，至魯悼公四年已為晉卿十一年矣。知伯曰：“惡而無勇，何以為子？”乃譏其何得為趙之宗子而為晉卿。後人誤解，誤傳以為知伯譏趙襄子何故立為太子，誤以為是年簡子尚在。《六國表》以此年為趙簡子五十四年，並謂“知伯謂簡子，欲廢太子襄子，襄子怨知伯”。《趙世家》同。蓋太史公誤采後世誤傳之說。《趙世家》載：“晉出公十七年，簡子卒，太子毋卹代立，是為襄子。趙襄子元年越圍吳。襄子降喪食，使楚隆問吳王。”《正義》已據《左傳》加以糾正，謂此“簡子死及使吳年月皆誤，與《左傳《文不同》。《左傳》記魯哀公二十年十一月越圍吳，趙孟降於喪食，趙孟曰：“黃池之役，先主與吳王有質，曰好惡同之，今越圍吳，嗣子不廢舊業而敵之，非晉之所能及也，吾是以為降。”杜注：“黃池在十三年，先主，簡子。”趙襄子既稱簡子為“先主”而自稱“嗣子”，簡子固已死于晉定公末年，並非卒于晉出公十七年。《趙世家》載晉出公十一年“趙簡子疾”云云，毋卹曰：“君所以置毋卹，為能忍詢。”蓋即據《左傳》載趙孟自稱“以能忍恥，庶無害趙宗乎”，加以虛構而成之故事。《說苑·建本》篇末章載：“趙簡子以襄子為後，董安於曰：無恤不才，今以為後何也？簡子曰：是其人能為社稷忍辱。”亦同為虛構之故事耳。
前463,463,周貞定王六年（西元前四六三年）,1,史料,秦、齊、楚、晉,,,秦厲共公十四年，晉出公十二年，齊平公十八年，楚惠王二十六年。
前463,463,周貞定王六年（西元前四六三年）,2,史料,秦、楚、晉,,賂,秦厲共公十四年晉人、楚人來賂。（《六國表》）
前463,463,周貞定王六年（西元前四六三年）,3,史料,鄭,,卒、立,鄭聲公卒，子哀公易立。（《鄭世家》，《六國表》記“鄭聲公卒”於此年）
前463,463,周貞定王六年（西元前四六三年）,4,考案,魯、鄭,,卒、立,案：鄭聲公名勝，據《左傳》，立于魯定公九年，至此凡三十八年而卒。《鄭世家》作三十七年，有誤。
前462,462,周貞定王七年（西元前四六二年）,1,史料,秦、齊、楚、晉,,,秦厲共公十五年，晉出公十三年，齊平公十九年，楚惠王二十七年。
前462,462,周貞定王七年（西元前四六二年）,2,史料,晉,,,晉出公十三年荀伯瑤城高梁。（《水經·汾水注》引《紀年》）
前462,462,周貞定王七年（西元前四六二年）,3,考案,趙、晉、周,荀瑤,,案：《永樂大典》本、朱謀緯本《水經注》作“三十年”，有誤。趙一清、戴震校本作“十三年”，是也。今本《紀年》列于周貞定王七年，作“晉荀瑤城南梁”，正當晉出公十三年，原注：“一本晉出公二十年。”王國維《今本竹書紀年疏證》雲：“偽此書者所見之本當作十三年。”蓋輯今本《紀年》者，嘗見《水經注》有兩種版本，一作十三年，而另一作二十年。晉出公在位共二十三年，趙紹祖《竹書紀年校補》以二十年為是，雷學淇《竹書紀年義證》亦列於出公二十年。徐文靖《竹書紀年統箋》以為《水經注》“當是十三而訛為三十”。今從之。
前461,461,周貞定王八年（西元前四六一年）,1,史料,秦、齊、楚、晉,,,秦厲共公十六年，晉出公十四年，齊平公二十年，楚惠王二十八年。
前461,461,周貞定王八年（西元前四六一年）,2,史料,秦,,伐,秦厲共公十六年塹河旁，伐大荔。補龐戲城。（《六國表》）
前461,461,周貞定王八年（西元前四六一年）,3,史料,秦,,伐、取,[秦厲共公]十六年，塹河旁，以二萬兵伐大荔，取其王城。（《秦本紀》）
前461,461,周貞定王八年（西元前四六一年）,4,考案,秦,,會,案：《六國表》多數版本“河”誤作“阿”。《史記會注考證》謂“淩本（明淩稚隆本）阿作河，與《秦記》合”。當以“河”為是。今改正。
前461,461,周貞定王八年（西元前四六一年）,5,史料,杞,,卒、立,[杞]哀公立十年卒，湣公子敕立，是為出公。（《陳杞世家》，哀公名閼路）
前461,461,周貞定王八年（西元前四六一年）,6,史料,秦、韓、趙、魏、周、代,,稱王、滅、取,是時義渠大荔最強，築城數十，皆自稱王。至周貞定王八年，秦厲公滅大荔，取其地。趙亦滅代戎，即北戎也。韓、魏複共稍並伊、洛陽戎滅之。其遺脫者，皆逃走，西逾汧、隴。自是中國無戎寇，唯余義渠種焉。（《後漢書·西羌傳》）
前461,461,周貞定王八年（西元前四六一年）,7,考案,秦、趙、晉、代,趙襄子、秦孝公,伐、攻、圍、稱王、滅、取、殺,案：時大荔稱王，築有城邑，故有王城，在今陝西大荔縣城之東。《括地志》雲：“同州馮翊縣及朝邑縣本漢臨晉縣地，古大荔戎國。今朝邑縣東三十步故王城，即大荔王城。”（《史記·匈奴列傳·正義》引）《西羌傳》謂“秦厲公滅大荔，取其地”，尚不確切。據《秦本紀》，是年秦伐取大荔之王城，但大荔並未滅亡，當已向北撤退。《六國表》載秦孝公二十四年大荔圍合陽，可知秦孝公末年大荔尚存，且擁有武力，進圍合陽。秦滅大荔尚在其後。《西羌傳》言“築城數十”，主要當指義渠而言。趙之滅代，時間較早，在趙襄子初年，趙簡子去世不久。趙襄子先以姊為代王夫人，謁于代王而請觴之，先具大金鬥，並令舞者置兵其羽中數百人。代王至，酒酣，反鬥一擊而腦塗地，舞者操兵盡殺其從者，隨即興兵而攻取其地。事見《呂氏春秋·長攻》與《趙世家》。
前461,461,周貞定王八年（西元前四六一年）,8,考案,秦、楚、韓、魏、晉,,伐、圍、滅、遷、奔,又案：伊、洛陰戎，乃戎之居於伊、洛二水流域者。古人謂水南曰陰，謂山北亦曰陰。其人居黃河之南，秦嶺山脈之北，因而謂之陰戎。戎族之居於兩陰之地者，種族複雜。《左傳》僖公十一年載：“揚拒泉皋、伊雒之戎同伐京師，入王城，焚東門，王子帶召之也。”是春秋早期已有“伊洛之戎”。僖公二十二年秋，“秦、晉遷陸渾之戎于伊川”，蓋允姓之戎居於秦、晉西北之陸渾者，此時為秦、晉遷至伊川，成為陰戎。可知陸渾之戎亦即陰戎。昭公十七年晉滅陸渾，“陸渾子奔楚，其眾奔甘鹿”。甘鹿在今河南嵩縣西北，仍在陰地。其後又稱為九州之戎。顧頡剛《秦與西戎》謂：“至範氏所雲：韓、魏複共稍並伊、洛陰戎滅之，其遺脫者皆逃走，西逾汧、隴，大有杜撰故實之嫌。……陸渾既滅，即無陰戎，安得待之六十餘年，至秦厲公之世而為韓、魏所並？且陰戎為晉惠所遷，居伊、洛間百餘年，早已華化，何須逃走？又其故居本在陝西、終南一帶，何必西逾汧、隴而入甘肅？蓋範氏作《西羌傳》，誤認陸渾戎與陰戎為二族，以必欲為陰戎覓一結束而史書未有，遂臆造此西逃之事耳。”(《史林雜識·初編》第六三頁)此說未可盡信。《左傳》昭公二十二年十月丁巳，“晉籍談、荀躒帥九州之戎及焦、瑕、溫、原之師，以納王于王城。庚申，單子、劉盆以王師敗績於郊，前城人敗陸渾於社。”杜注雲：“九州戎，陸渾戎。十七年滅屬晉。”據此可知，陸渾之戎即是九州之戎，雖已滅而服屬於晉，尚保持其戎之部族而未華化，仍具有武裝而頗有武力，為晉所遣使。《左傳》哀公四年：“楚人既克夷虎，乃謀北方。……單浮餘圍蠻氏。蠻氏潰，蠻子赤奔晉陰地。司馬起豐、析與狄戎，以臨上雒。……士蔑乃致九州之戎，將裂田以與蠻子而城之，且將為之蔔。蠻子聽蔔，遂執之與其五大夫，以畀楚師於三戶。”所謂“士蔑乃致九州之戎”，謂召集九州戎各部落之長。可知春秋晚期，九州之戎即陸渾之戎，雖服屬於晉，尚保持部落宗族之組織，具有武力，並未華化。范氏所謂“韓、魏複共稍並伊、洛陰戎”，並非杜撰故實。蓋戰國初期，韓、魏共同逐步消解伊、洛之戎族組織，使為編戶之民，並解除其武力，因而此後即不見有九州之戎或陸渾之戎、陰戎。於是中原無武裝之戎族組織矣。
前458,458,周貞定王十一年（西元前四五八年）,1,史料,秦、齊、楚、晉,,,秦厲共公十九年，晉出公十七年，齊平公二十三年，楚惠王三十一年。
前458,458,周貞定王十一年（西元前四五八年）,2,史料,韓、趙、魏、晉,知伯,,[晉]出公十七年知伯與趙、韓、魏共分範、中行地以為邑。（《晉世家》）
前458,458,周貞定王十一年（西元前四五八年）,3,史料,韓、趙、魏,智伯,伐、滅,昔者智伯瑤率趙、韓、魏伐範、中行，滅之。（《韓非子·十過》，《趙策一》第二章同）
